Store,Mean_Sales,Std_Sales,CV,Promo_Uplift,Risk_Category
1,4759.096030729834,1012.106393133986,0.21266778114976886,1.2269468372068575,Moderate
2,4953.900510204082,1610.1491019698924,0.3250265318516783,1.624475213418412,High
3,6942.568677792041,2193.3838042966454,0.31593260450024263,1.6450427484258678,High
4,9638.401785714286,1936.031880865101,0.2008664842893997,1.192303876683454,Moderate
5,4676.274711168165,1765.7456282447836,0.3775966420509304,1.7362511824432323,High
6,5509.946153846154,1577.3801331284312,0.28627868387195754,1.4507223771117275,Moderate
7,8817.050890585242,2448.618883814134,0.27771404681680406,1.418399263421306,Moderate
8,5539.3584183673465,1894.0945579586112,0.34193392355298624,1.6734905578321932,High
9,6562.337612323492,1628.653939851646,0.24818197966425523,1.3210840702453606,Moderate
10,5568.4209183673465,1051.1327740493298,0.18876675981554938,1.2716834996680464,Stable
11,8030.977040816327,2242.526026105569,0.27923452086940875,1.3094629775657423,Moderate
12,7589.598214285715,2055.967799328141,0.27089283797108565,1.497903782587636,Moderate
13,5034.747181964573,1617.5066661415049,0.3212686968544762,1.6437658388963177,High
14,5508.567394094994,1479.6472358071142,0.2686083567559232,1.4758344390978368,Moderate
15,6672.844387755102,1625.6661575976307,0.24362416731623232,1.3878117502730918,Moderate
16,7680.683397683398,1904.3579559463253,0.24794121269478528,1.4208331492047768,Moderate
17,6335.6624040920715,2497.622418941427,0.3942164622484091,1.8221387655686916,High
18,6560.277493606138,1783.419400041794,0.2718512138823355,1.4367047735694298,Moderate
19,6464.915275994866,1842.071355059674,0.2849335646979849,1.5175365985662956,Moderate
20,7756.9353796445885,1695.430874493675,0.21856967881191208,1.3140494123682072,Moderate
21,5482.320463320463,1790.7713239110258,0.32664477311974094,1.6297759519845634,High
22,4525.857835218094,1140.0046112788557,0.2518869687880774,1.4368428650369633,Moderate
23,5520.281129653402,1605.5300230134885,0.29084207584809973,1.5168918384931833,Moderate
24,9388.28626444159,2604.8210323838753,0.2774543680298407,1.4469874067487603,Moderate
25,11168.742666666667,2807.8711955228787,0.25140441313085543,1.3456553959923951,Moderate
26,6671.695652173913,2012.8004028395899,0.3016924793599865,1.524733416851409,High
27,9478.57381258023,2915.379757284599,0.3075757824890517,1.5663663932514527,High
28,5313.736979166667,2128.425550912101,0.40055154390533904,1.6819772307454062,Severe
29,7364.775353016688,2204.586750381418,0.29934202262916226,1.4285785872330585,Moderate
30,5294.782496782497,1542.345143458142,0.2912952787759243,1.4238738765426193,Moderate
31,5862.427295918367,1333.9646416623827,0.22754476504828247,1.2958751140742684,Moderate
32,4067.8212560386473,1278.9942679128415,0.31441751920986816,1.6483613116939035,High
33,8436.659820282413,1745.3864720537538,0.20688121949135643,1.2455197804594673,Moderate
34,8031.485969387755,1513.0003548832915,0.18838361427139844,1.268022252926648,Stable
35,9703.071887034659,2998.390768904521,0.30901458876245164,1.558709787690495,High
36,9363.638263665594,1323.5946660328486,0.1413547414757455,1.1439591142257246,Stable
37,7114.170512820513,1890.9912745470517,0.2658062905772751,1.284859819517611,Moderate
38,6004.643132220795,1811.5706491756546,0.30169497325408107,1.4806078746148863,High
39,4852.571245186136,1864.5306530848238,0.38423560600670864,1.7376396038569077,High
40,4902.3389175257735,1125.8411678870502,0.22965388293783368,1.203210145139733,Moderate
41,5335.059485530546,1377.7957499211793,0.25825311857495886,1.2386542441159825,Moderate
42,10178.136071887035,2487.339190543346,0.24438061870813554,1.4134818237418845,Moderate
43,6822.9139922978175,1963.712854219552,0.2878114624391174,1.5375640827545087,Moderate
